from_str|to_char|rel_frequency
 a|e|0.00022142026930544885
 a|k|0.0002746621288062633
 a|q|0.00010676913927936518
 a|z|9.792111066953911e-05
 a|o|6.670052336638113e-05
 a|Ã|5.071698781314694e-06
it| |0.6102431653365062
it|h|0.17304889890747432
it|t|0.04627311533909711
it|s|0.01587566144866813
it|i|0.034383220025329266
it|e|0.040412768984492524
it|y|0.030436317381003764
it|c|0.012418746516927905
it|a|0.016528002261726103
it|u|0.0072375930167618285
it|n|0.002811324354593069
it|l|0.0027954910806551937
it|o|0.004832871107620401
it|m|0.0004908314920741311
it|r|0.0008495866770990901
it|z|0.0010403304756672856
it|f|0.00013430984099025166
it|j|5.057713524355745e-05
it|w|5.683103027858025e-05
it|k|1.6627419339147935e-05
it|v|1.0919499267500135e-05
it|Ã|2.2930948461750286e-05
it|b|2.9879720722886736e-05
an|d|0.350614348298698
an| |0.27138011112490507
an|t|0.10612471479668627
an|y|0.07045613073267054
an|k|0.04136760531150117
an|o|0.01245291810061093
an|n|0.022549481300597706
an|g|0.03509148804027206
an|s|0.022632267960168047
an|c|0.02931560330519884
an|e|0.010800387554520301
an|i|0.014053207647297148
an|a|0.00841235057119868
an|l|0.0004909689706715173
an|w|0.0003094857360892842
an|x|0.00042936109464350686
an|u|0.0015305200906589685
an|h|0.00034612675346983377
an|z|0.0003046301125454332
an|q|0.0002520791797233293
an|v|0.0002272845063079199
an|b|0.00015703293163092647
an|Ã|9.728465610907176e-05
an|f|0.0001814143604894124
an|j|0.0003414433151580342
an|p|5.5168148349286005e-05
an|m|2.1833087424124424e-05
an|r|4.752312404620143e-06
nd| |0.7828677651781741
nd|e|0.07452755694280944
nd|s|0.04968979305861077
nd|l|0.008318305334019246
nd|i|0.027592479793468894
nd|o|0.012114134945858173
nd|r|0.008968007246262462
nd|m|0.0032997636127794277
nd|p|0.001873613315954086
nd|a|0.01541471912842864
nd|y|0.0059277330497107495
nd|f|0.00166746093614389
nd|w|0.0012831186701719726
nd|u|0.0034931024796987877
nd|n|0.00047277444114463175
nd|d|0.0004585091509311889
nd|c|0.0005870861251116448
nd|k|0.00023992198274909817
nd|h|0.00032242080712507063
nd|b|0.00048495674650389926
nd|t|0.0002610674350566351
nd|g|0.00010194001634827507
nd|v|1.3192237409776774e-05
nd|j|1.1487977074542453e-05
nd|Ã|9.08938845458304e-06
ha|t|0.5332734834414449
ha|v|0.16188893540916016
ha|d|0.04148455981471723
ha|s|0.03691326634806624
ha|n|0.10121242917543728
ha|p|0.03793170324576393
ha|r|0.034300532540053504
ha|l|0.0173920945174729
ha| |0.006951125112444152
ha|i|0.007630645420308166
ha|e|0.0027144715618259703
ha|m|0.007713824763958013
ha|k|0.0019996785039896854
ha|b|0.0014062802052348291
