from_str|to_char|rel_frequency
 you| |0.8434004563223938
 you|r|0.14921898320963756
 you|n|0.006566883309647971
 you|t|0.0006683240793748595
 you|s|9.576423498030063e-05
 you|l|1.669216003377743e-05
 you|v|1.226592433942746e-05
 you|j|5.889144101804621e-06
 you|d|5.326487022014371e-06
 you|k|4.801340414210137e-06
 you|a|4.6137880542800535e-06
 the| |0.6877123194584697
 the|r|0.0969489866534656
 the|y|0.09254729409768957
 the|m|0.04224119212962737
 the|n|0.038543187201116956
 the|s|0.0206185986090023
 the|i|0.01818006280929002
 the|o|0.0013720794745267462
 the|e|0.000500121268169949
 the|a|0.0009823014920186783
 the|f|0.00024828216454986446
 the|l|3.943902771265952e-05
 the|t|3.083983435608361e-05
 the|b|1.5947594952195327e-05
 the|v|7.817448505978101e-06
 the|j|1.1530736546317699e-05
 and| |0.9916320832066591
 and|y|0.002428715306408414
 and|r|0.00426642688310907
 and|e|0.0012028390235976282
 and|i|0.00024850830683129484
 and|o|7.156254989619141e-05
 and|h|3.198257795018144e-05
 and|t|2.303725921315751e-05
 and|s|2.1444257246290235e-05
 and|a|7.340062908873058e-05
 tha|t|0.8510126580205583
 tha|n|0.1473221318576105
 tha|i|0.0006814555550036272
 tha| |0.00036583748234815045
 tha|k|0.00012096327378148334
 tha|m|9.672694997328e-05
 tha|w|0.00012118161904101671
 tha|d|0.00011670554122058276
 tha|y|7.423738824134356e-05
 tha|c|4.3341534017372644e-05
 tha|r|1.8122656541269166e-05
 tha|l|2.663812166307034e-05
that| |0.9992508538995806
that|s|0.00043299387690738227
that|c|0.00016737470656520554
that|y|6.412824006329714e-05
that|a|2.193185810164762e-05
that|t|1.6673342416457257e-05
that|w|3.052504227012944e-05
that|j|1.5519034095317906e-05
 wha|t|0.9957705645381587
 wha|l|0.0015743118316363354
 wha| |0.0009424305074316145
 wha|c|0.0010396568431525342
 wha|m|0.00019265551181668397
 wha|r|0.00020865023248056911
 wha|d|0.00013298981226151691
 wha|s|4.906245776674881e-05
 wha|y|3.4146032877957045e-05
 wha|a|3.234887325280141e-05
 wha|n|2.318335916450768e-05
what| |0.9730972367119033
what|e|0.024984446690683032
what|s|0.0012240738367107135
what|c|0.0003068297010429506
what|n|0.00020407239810847242
what|y|9.91517835332684e-05
what|t|3.497353819173467e-05
what|a|2.9024431179738566e-05
what|i|2.0190908646774655e-05
 thi|s|0.6223361189532453
 thi|n|0.36154901118706834
 thi|r|0.009529917839466625
 thi|e|0.004102112800005632
 thi|c|0.0016251874485176607
 thi|g|0.0005943438069825893
 thi| |0.00012897866079034632
 thi|m|3.66096635431114e-05
 thi|b|3.618724434838319e-05
 thi|t|2.4781926090721564e-05
 thi|j|1.9149670161012115e-05
 thi|a|1.7600799780342018e-05
this| |0.9998622799475533
this|e|5.608304270407104e-05
this|t|4.8394238462383884e-05
this|o|3.324277128023566e-05
 for| |0.8377682446549899
 for|g|0.06625776141747494
 for|e|0.02659021285439542
 for|c|0.019453486539551076
 for|w|0.00989710882947768
 for|m|0.017891941771814378
 for|t|0.013560386951672481
 for|b|0.0031814826450027533
 for|d|0.0014008067458064224
 for|k|0.0011440026404568812
 for|y|0.0005433280012122326
 for|r|0.0004704935850250766
 for|u|0.00030933697449602457
 for|f|0.00034596347688899094
 for|s|0.0006090464112201837
 for|a|0.00020720135639449547
 for|l|7.681100787553519e-05
 for|n|0.0002252006661418961
 for|j|3.9138033985626925e-05
 for|i|2.8045436118042823e-05
 hav|e|0.9597100727763875
 hav|i|0.03934309282217532
 hav|a|0.0004337714252889477
 hav|o|0.00036282635346749563
 hav| |9.352966215907702e-05
 hav|r|5.670696052164512e-05
have| |0.9460728001955077
have|n|0.05160021115643715
have|d|0.0013878099327866095
have|s|0.0003348221657354478
have|z|0.00018824220395293386
have|r|0.00021694850496060123
have|t|6.579585806182169e-05
have|a|5.360203108511342e-05
have|y|4.318647054250844e-05
have|l|3.65814809301248e-05
your| |0.9078246347436659
your|s|0.09135290714943006
your|e|0.00035054355610481024
your|j|0.00015202785049706825
your|f|0.0002585729886966665
your|w|6.131371160542918e-05
 was| |0.9040448671725915
 was|n|0.0644288004139141
 was|t|0.015188479319188585
 was|h|0.015362911482117885
 was|r|0.00028338517546667985
 was|p|0.0004223941914626459
 was|s|8.104386646869064e-05
 was|a|7.943372342626632e-05
 was|j|6.494243604444746e-05
 was|i|4.374221931919395e-05
 not| |0.8395412631704088
 not|h|0.1271317692201651
 not|i|0.018495168162611784
 not|e|0.012278343174911123
 not|o|0.0007363161176335189
 not|c|0.0004985500061338598
 not|a|0.0005916329093592583
 not|t|0.00027874282433257915
 not|r|0.00019855999736939623
 not|j|0.0001737716155321977
 not|w|7.588280154244441e-05
 are| |0.9428066941497385
 are|n|0.04085158367644198
 are|a|0.015457580540403639
 are|y|0.0003386440086511798
 are|s|0.0003372115043844658
 are|t|7.449022186912584e-05
 are|r|0.0001337958985110837
 don| |0.8952568612573251
 don|e|0.0859383278874455
 don|n|0.005038621398574093
 don|t|0.0022508270146339355
 don|a|0.005484131806458449
 don|k|0.001614735633247727
 don|g|0.0014019749774848843
 don|o|0.002081878076917495
 don|u|0.0006883916198041014
 don|s|6.571757706960396e-05
 don|d|5.9967289076013605e-05
 don|Ã|4.627612718651278e-05
 don|c|4.16211321440825e-05
 don|i|3.0668202632481844e-05
 kno|w|0.9753946412190095
 kno|c|0.021322539523690388
 kno|t|0.0017117004419981653
 kno|x|0.0005736445191036134
 kno|b|0.000688611696867889
 kno|p|0.00014296436613174166
 kno|l|0.00010215995329830707
 kno| |6.373827990040149e-05
know| |0.9143205059101296
know|s|0.04313810040767368
know|n|0.025685719274538235
know|i|0.008722546556030457
know|l|0.007453216218883566
know|w|0.00022532131822081185
know|e|0.00018432619967659406
know|t|0.00015821079082620348
know|y|7.4398548469136e-05
know|a|3.765477555172597e-05
 can| |0.9285002252504683
 can|n|0.0303149978723743
 can|c|0.01263556784503517
 can|d|0.013451652008475536
 can|a|0.005550246464285703
 can|s|0.0012843803551620756
 can|t|0.0028503628202794728
 can|y|0.001177296625988378
 can|e|0.0011170425159868515
 can|v|0.0012053943974916807
 can|o|0.0011248474525155467
 can|i|0.0006858978221417308
 can|b|6.27516896907091e-05
 can|k|3.933688010462361e-05
 wit|h|0.977054768715131
 wit|n|0.014622773730547928
 wit|c|0.00616166883177556
 wit| |0.0008153066668274172
 wit|s|0.0006546565916263032
 wit|t|0.0006317496390647935
 wit|l|5.90758250270513e-05
with| |0.911548092616124
with|o|0.0698398171876537
with|i|0.013364036400895807
with|d|0.0031004219102237452
with|s|0.0006604777455692951
with|h|0.0006392018518044579
with|e|0.0007113548828330364
with|a|0.000136597404895984
 but| |0.9724910501525511
 but|t|0.021566626951428636
 but|c|0.003435182504509721
 but|l|0.0018466889740106451
 but|s|0.00039599247266329643
 but|y|0.00016250306215620337
 but|j|5.4283678150680354e-05
 but|a|4.767220452976416e-05
 all| |0.9466087477510657
 all|o|0.02785675829254907
 all|e|0.011496076275796139
 all|i|0.0078960458676712
 all|y|0.0021889684460163795
 all|a|0.002898491361280807
 all|r|0.0006737690697300654
 all|u|0.00028568363956097054
 all|s|5.4151455372431844e-05
 all|w|4.130784095717557e-05
 jus|t|0.9997042737659518
 jus| |0.0001905791286088265
 jus|s|0.00010514710543935254
just| |0.9784223501483816
just|i|0.01964505931616559
just|m|0.0008806498604517546
just|e|0.00046701710872626846
just|l|0.0002653855445146805
just|o|9.98556318000245e-05
just|a|0.00012673984036156956
just|s|4.6471274799242175e-05
just|u|4.6471274799242175e-05
 her|e|0.5730207969170197
 her| |0.3922599916647212
 her|s|0.009827419615518357
 her|o|0.012932275976555803
 her|r|0.0021913340620677416
 her|c|0.0018426703303956178
 her|m|0.0019725738076808172
 her|d|0.0012785114227602554
 her|b|0.0023245026177766263
 her|i|0.0005524979132650574
 her|a|0.0006609451609088952
 her|p|0.00023811750504163092
 her|n|0.0005902795350248461
 her|v|8.302627991657259e-05
 her|t|0.00016955085814423672
 her|z|5.5506333202652454e-05
here| |0.98740324600098
here|v|0.0027038446379905336
here|f|0.0024465276810934633
here|d|0.0029705185751384066
here|a|0.0016306957995709018
here|b|0.0007422666574817688
here|s|0.0010783113102821437
here|t|0.0002955515141287982
here|n|0.0003036178764139728
here|i|0.0001902048226844176
here|o|8.96979486111418e-05
here|e|5.243135485363505e-05
here|w|4.791419197393726e-05
here|u|2.629634104966927e-05
here|r|1.8875287747308617e-05
ther|e|0.4929419930353005
ther| |0.4516218269739207
ther|s|0.027279037090958337
ther|w|0.00702643976789646
ther|f|0.004678517476974369
ther|a|0.00374663789437835
ther|i|0.0062668354233738665
ther|n|0.002984444442231532
ther|h|0.0006908934114181638
ther|m|0.0014644391046865835
ther|l|0.0010463978044367346
ther|t|9.55978199713804e-05
ther|b|5.636288135812636e-05
ther|o|2.8081859616592993e-05
ther|y|2.4696103492606604e-05
ther|Ã|2.4297779242725852e-05
ther|g|2.3501130742964348e-05
they| |0.9996570866299682
they|r|0.00015287517235408762
they|w|7.348143643539018e-05
they|j|7.052528669373655e-05
they|l|4.603147454860649e-05
 lik|e|0.9979274248107199
 lik|i|0.0016347718518747289
 lik| |0.0003063371302721601
 lik|a|0.00013146620713314772
like| |0.954616088318935
like|d|0.017288340460056544
like|s|0.016841695677190485
like|l|0.009483854142951166
like|w|0.000944204587319262
like|n|0.00046734194611286576
like|a|0.00017592588759784584
like|y|0.00018254897983682356
 get| |0.8555328608850666
 get|t|0.10029176132509701
 get|s|0.042970883098669595
 get|a|0.0008651573543151825
 get|u|0.0001681401218633747
 get|c|0.00011922663186675659
 get|y|5.197058312140672e-05
 she| |0.937694605250296
 she|r|0.0163373917954622
 she|e|0.012314409531774392
 she|l|0.0176820062777639
 she|d|0.004199802326465445
 she|p|0.004243681506663336
 she|i|0.0029225271801110015
 she|n|0.001376329137296217
 she|k|0.0006725244648151969
 she|a|0.0011469409477468475
 she|f|0.000423151698145996
 she|b|0.00035190233624051006
 she|s|0.00021374808571645795
 she|t|0.00022417482160506566
 she|u|8.428278176624561e-05
 she|m|6.34293099890302e-05
 she|c|4.909254814219461e-05
 rig|h|0.9931583744333357
 rig| |0.002149630124772764
 rig|g|0.0019661553505707055
 rig|i|0.0005816646219973362
 rig|b|0.0005057953234759445
 rig|o|0.0008965470047495172
 rig|s|0.000560837755736562
 rig|a|0.00012198593095596308
 rig|e|5.9009454405526855e-05
righ|t|0.9997780413214621
righ|a|0.00013187503076310137
righ| |9.008364777479459e-05
ight| |0.9145877688067726
ight|i|0.014481356120998469
ight|s|0.02457805578066868
ight|m|0.004474902257356772
ight|e|0.022178548986836234
ight|y|0.005236061085574416
ight|l|0.004629867181394308
ight|n|0.0023451014710838287
ight|f|0.002929120693954073
ight|h|0.0016019918020718888
ight|c|0.0009803271900011784
ight|o|0.00074285182388043
ight|a|0.0003480909275385562
ight|t|0.00022767725112336678
ight|g|0.0002173634458629651
ight|w|0.00019905644152575216
ight|r|0.0001064900393136472
ight|b|6.652404392959075e-05
ight|d|4.048168564707654e-05
ight|j|2.8362964466104583e-05
 out| |0.9116842489033153
 out|s|0.05144785896576462
 out|t|0.009210504651354244
 out|f|0.005572216537887074
 out|e|0.00254172105987369
 out|r|0.004147290924272895
 out|c|0.0024259958367145325
 out|b|0.0016827200131719767
 out|l|0.00405132366604335
 out|n|0.0008001975796492961
 out|d|0.0020157828505568687
 out|p|0.0013731785626080514
 out|i|0.0005819191099507226
 out|g|0.0008368909430900046
 out|w|0.0011012713309576732
 out|h|0.00023098001858189559
 out|a|0.00023897729010102437
 out|m|5.692175610674005e-05
 abo|u|0.9724445411933206
 abo|v|0.015956613554246282
 abo|a|0.005626241007779695
 abo|r|0.003961052700107419
 abo|m|0.0008778604212102471
 abo|d|0.0004226546987402754
 abo|l|0.0006271158165424303
 abo| |8.392060805312327e-05
abou|t|0.9971987250947933
abou|r|0.002522968113324445
abou|n|0.00014877708874449304
abou| |0.000129529703137688
bout| |0.9968334852699408
bout|s|0.0025650015972822826
bout|i|0.00043892797685369156
bout|y|0.00016258515592332005
 him| |0.9559318546768366
 him|s|0.042480429546366924
 him|m|0.0006041750301083902
 him|a|0.0007993777599357688
 him|i|6.67402649538338e-05
 him|u|0.00011742272179847451
 now| |0.9827558034582876
 now|h|0.013036939384373235
 now|a|0.0038271034062665344
 now|t|0.00029289623803404935
 now|y|8.725751303860672e-05
 one| |0.9649165384127556
 one|s|0.034856146057365874
 one|d|0.00014385668799076683
 one|n|8.345884188777312e-05
 com|e|0.6280874276236068
 com|i|0.10635854796295287
 com|p|0.14316991642713012
 com|m|0.0899638733225237
 com|f|0.013487647629220044
 com|r|0.005808068379979223
 com|b|0.00900007847842309
 com|a|0.0025711659632428347
 com| |0.000981977895687544
 com|o|0.0003335332981288882
 com|t|0.00014897598959296302
 com|s|4.688753243885666e-05
 com|l|4.1899497073020846e-05
come| |0.921813486041625
come|s|0.06849443626408999
come|d|0.005603151767003485
come|t|0.0019923777240345697
come|b|0.0009764809335176494
come|r|0.0009351881309469847
come|o|6.66315677844816e-05
come|l|6.569309499878467e-05
come|u|5.255447599902774e-05
 how| |0.9673890520223094
 how|e|0.018498923590292173
 how|a|0.006706882811515988
 how|d|0.0024575458090834003
 how|l|0.003694444750783147
 how|i|0.0007574627493750207
 how|s|0.00027628526337357076
 how|t|0.00012305141982184244
 how|y|9.635158344540493e-05
 wel|l|0.9313533442744357
 wel|c|0.06390373353691708
 wel|f|0.002454890809931108
 wel|s|0.0007657247870827943
 wel|d|0.0010903006669805758
 wel| |0.0002285745633082968
 wel|t|0.00020343136134438414
well| |0.9900642262487025
well|s|0.003438362843903592
well|e|0.0030817830187832612
well|i|0.0030111849997158133
well|n|0.0001651275700221666
well|b|0.00014179432643207784
well|y|9.752099244062736e-05
