from_str|to_char|rel_frequency
 |y|0.058127321163383296
 |i|0.09115446221462668
 |t|0.13361165167331696
 |a|0.08608134994269886
 |o|0.047640735346589635
 |w|0.07598230991514156
 |m|0.047660258540267515
 |h|0.057666348888418054
 |f|0.030843106132856738
 |d|0.039075279036474106
 |n|0.02832196821703069
 |b|0.04198913553738321
 |k|0.01228718747928791
 |c|0.038748362874845343
 |s|0.06288680362910883
 |j|0.009114972788740858
 |l|0.03148255025926338
 |g|0.03258172118293597
 |r|0.01924659179138231
 |u|0.011100755628674231
 |v|0.0039481643067670845
 |p|0.023488503619986605
 |e|0.015017045912074669
 |q|0.0014400141341118404
 |Ã|9.739484412412849e-05
 |z|0.0002945866600746688
 |Â|2.7071657913065734e-05
 |x|7.000945434750726e-05
 |Î|9.03396570961004e-06
 |Å|1.2643772091483508e-06
 |Ï|2.460716182826835e-06
 |ï|9.109563749021003e-07
 |Ñ|4.063394618339244e-07
 |é|2.608132359678213e-07
y|o|0.3884083677395511
y| |0.4633473636322299
y|e|0.06281776296468337
y|t|0.013573128972802743
y|b|0.010076903010762956
y|s|0.025631283676620566
y|i|0.013384862981219327
y|w|0.0034545156999819596
y|m|0.0032818340754379094
y|a|0.004632417489181259
y|f|0.0007293597736887792
y|p|0.001692200146806447
y|l|0.0022858591157264895
y|Ã|0.00018336560560394465
y|d|0.0009630825433550253
y|n|0.001549148763068503
y|u|0.0009955903363932635
y|g|0.00033204388603343273
y|c|0.0012683879861225627
y|h|0.0001445328957782491
y|Î|7.71810791766759e-05
y|r|0.0007835061897003232
y|v|0.0001083925491796469
y|z|0.00013339306485979938
y|k|8.379090212573045e-05
y|j|2.07269232561948e-05
y|x|2.360447548832631e-05
y|y|1.73935211655078e-05
o|u|0.2205899148014012
o| |0.16078367192514176
o|f|0.0435468845116105
o|r|0.08299299184126376
o|n|0.12344447917682963
o|t|0.05172800343583532
o|w|0.05570649252061311
o|m|0.0525648828402352
o|h|0.010620975286440116
o|o|0.03838119799942738
o|d|0.020859699847709422
o|i|0.01383704317521595
o|k|0.020642906487523746
o|v|0.014400451599275594
o|p|0.015766066748626205
o|s|0.01718810414163955
o|l|0.022487155706335037
o|e|0.006142576078226416
o|y|0.004158885974534729
o|g|0.004463156423857855
o|b|0.007183453416502788
o|c|0.006640235696328111
o|a|0.004433527430462498
o|x|0.0008149915109129876
o|j|0.000253876154936194
o|z|0.00033788438005968
o|Ã|1.2848629744979013e-05
o|q|1.7642259310290025e-05
