from_str|to_char|rel_frequency
 yo|u|0.9955092856355208
 yo|r|0.002038949149163869
 yo| |0.0013077176514361872
 yo|g|0.00027524805279086626
 yo|o|0.0002340971432568092
 yo|n|0.00015683649731673292
 yo|k|0.00011848623952047465
 yo|l|5.732000556694881e-05
 yo|d|4.7237659310873124e-05
 yo|s|0.0001676656840362216
 yo|w|2.6811572636527197e-05
 yo|y|1.1762737298754968e-05
 yo|i|1.5795675801185243e-05
 yo|m|1.8633669562154696e-05
 yo|Ã|9.410189839003975e-06
 yo|h|4.742436942672638e-06
you| |0.843327491905433
you|r|0.1491445129585967
you|n|0.006561178166749075
you|t|0.0007815637894383051
you|s|0.00013570741735667512
you|l|1.6677658305363275e-05
you|v|1.2255268013154588e-05
you|j|5.884027761667493e-06
you|d|5.321859504183337e-06
you|k|4.797169130531459e-06
you|a|4.609779711370074e-06
 th|e|0.5831753165695832
 th|a|0.20879514476216884
 th|i|0.16188692645134747
 th|o|0.025027753705292328
 th|r|0.019090209127377734
 th|y|0.0003585608675194413
 th|u|0.0014624177378625095
 th| |0.0001528613590327637
 th|Ã|1.577394280505107e-05
 th|w|1.5204074929146047e-05
 th|l|6.633262075534482e-06
 th|c|4.467764147095391e-06
 th|Î|3.145670674995734e-06
 th|z|2.872134094561322e-06
 th|x|2.7125710893079157e-06
the| |0.6221485066170146
the|r|0.17711010527977733
the|y|0.08352600375156165
the|m|0.03840274818222665
the|n|0.03523217840665791
the|s|0.0209658666302831
the|i|0.016469714030373554
the|a|0.0022119031976034816
the|o|0.0012485805011493206
the|e|0.00046631732138864926
the|t|0.0007923161628617126
the|w|0.0004120312126430266
the|f|0.00023083060144987296
the|l|0.000440743943324597
the|d|0.00026680969886412576
the|u|2.2222383697038502e-05
the|b|1.9224125579184103e-05
the|c|8.571490854571995e-06
the|q|7.866018356253311e-06
the|v|7.054724983186827e-06
the|j|1.040571935020057e-05
 to| |0.7984799742811406
 to|o|0.062403920976808566
 to|l|0.025303135650349324
 to|d|0.01803205361039376
 to|g|0.014179849951142031
 to|m|0.01805933302142462
 to|n|0.01708495600968147
 to|w|0.011034128599740574
 to|u|0.01258506291956838
 to|p|0.005777126002147875
 to|t|0.005020863305653703
 to|i|0.001393971855027169
 to|a|0.0013204202722920725
 to|r|0.003971422548701461
 to|y|0.0012200731705177916
 to|k|0.0009296170025129116
 to|b|0.0009380851123672812
 to|e|0.0007300115559456263
 to|s|0.0007859010809844662
 to|x|0.000507481726272583
 to|f|0.00010833131963697213
 to|v|5.123206461893657e-05
 to|c|4.113081929265274e-05
 to|h|2.310584260263727e-05
 to|j|1.8811301176492647e-05
 it| |0.979296220671107
 it|s|0.01562983109752517
 it|a|0.00286035760870987
 it|e|0.001162455120799876
 it|c|0.0005202336858547367
 it|i|0.0001061247033911945
 it|o|6.957476183863276e-05
 it|j|5.0279361222051935e-05
 it|u|4.684700630467939e-05
 it|h|5.343341709206995e-05
 it|w|4.740360439938845e-05
 it|t|6.011259422857869e-05
 it|f|2.6067344102207736e-05
 it|v|2.040859680599894e-05
 it|Ã|2.9592465368698462e-05
 it|l|1.0946429195944886e-05
 it|y|1.0111532053881293e-05
 an|d|0.6852196236280608
 an| |0.09383756065064139
 an|y|0.1408988310440601
 an|o|0.02473986956071244
 an|s|0.011907534777400622
 an|g|0.012322326136507333
 an|i|0.005602958016565122
 an|n|0.011045877099839273
 an|c|0.0031716425116473245
 an|t|0.0056210106769311015
 an|x|0.0010067506873865306
 an|a|0.0028231841836528207
 an|k|0.000698847870818857
 an|j|0.00022334919336515193
 an|u|0.0002713776665248763
 an|e|0.0004812083560810848
 an|w|7.019546077190489e-05
 an|v|3.3250481418270735e-05
 an|b|1.477799174145366e-05
 an|z|9.82400587357999e-06
and| |0.9010389917292593
and|s|0.02520588454553946
and|l|0.008832848965550907
and|i|0.012604268231415732
and|e|0.011105149208162052
and|m|0.004802229339182481
and|p|0.0028588650599387327
and|y|0.007000275897617527
and|f|0.002311096810401566
and|a|0.007953001739559524
and|o|0.005347247452268681
and|r|0.00525226952555137
and|w|0.0019299082544658043
and|d|0.0007134639707079038
and|c|0.0009135363975157232
and|k|0.0003733310232187145
and|h|0.00037696513210034894
and|b|0.0005806716677898028
and|t|0.00031695322597389945
and|u|0.00030084528390395226
and|g|9.80227206451663e-05
and|n|4.5770128076801095e-05
and|v|2.052780422328633e-05
and|j|1.7875886931282833e-05
tha|t|0.844349504915541
tha|n|0.1499127914091362
tha| |0.0024604236736941072
tha|l|0.0008602819394289608
tha|i|0.0006919941582264677
tha|m|0.0006139146921730588
tha|k|0.00011998897141078657
tha|w|0.00023943647634408764
tha|c|0.0001644975158600946
tha|d|0.0001640643426781062
tha|r|0.00019037961348390144
tha|g|9.280735424101453e-05
tha|y|7.363944093802786e-05
tha|z|4.385878467632542e-05
tha|b|2.2416712167899658e-05
hat| |0.9734643319587336
hat|e|0.019811511424746166
hat|t|0.0034383754722496474
hat|r|0.0004180525417440031
hat|s|0.0011997857793416857
hat|c|0.0007871042047830596
hat|h|0.00035580818230798993
hat|i|0.00019909366032370157
hat|n|0.00010337272459527003
hat|y|7.725363759788863e-05
hat|m|2.773773464228954e-05
hat|f|2.5456912960828066e-05
hat|a|3.627242222453247e-05
hat|u|1.1845557765009592e-05
hat|o|9.123286725845897e-06
hat|w|1.751082452218809e-05
hat|j|8.902562046994785e-06
hat|k|8.461112689292565e-06
 of| |0.8705965931873421
 of|f|0.12193374004220518
 of|t|0.006541193339126003
 of|y|0.00023905581354970388
 of|c|9.012327795164555e-05
 of|a|0.00010183421237474073
 of|h|0.00021767062895100832
 of|i|5.20627410765862e-05
 of|m|5.0407935125496664e-05
 of|e|2.7495237341179997e-05
 of|l|4.238849090098583e-05
 of|u|2.2403526722442964e-05
 of|w|1.807557269651648e-05
 of|j|4.9644178532686106e-05
 of|o|1.7311816103705926e-05
 is| |0.9246527836215367
 is|n|0.0533529618903485
 is|l|0.00827940173142127
 is|s|0.006450107388510789
 is|r|0.0015142168406416642
 is|a|0.0026698246699696673
 is|o|0.0016427076145509815
 is|t|0.0005555526786280681
 is|i|0.00025083211531415833
 is|h|0.0004293274851151368
 is|m|0.00010502583408960564
 is|e|3.171812554940325e-05
 is|c|2.233214962151861e-05
 is|u|2.233214962151861e-05
 is|j|2.087570508098479e-05
 in| |0.7068493418045033
 in|t|0.11973055133584573
 in|s|0.05507278071551877
 in|f|0.019071517596711288
 in|v|0.0293120881821073
 in|n|0.007633636493524139
 in|d|0.023654702152431515
 in|c|0.020507789774793023
 in|j|0.004543899759211722
 in|k|0.0006218007600231906
 in|i|0.002081843993317081
 in|a|0.0017240270569657075
 in|h|0.003015546019887115
 in|e|0.0015658869843964292
 in|g|0.001991388872693989
 in|q|0.0010863372231954454
 in|m|0.0005384769559637449
 in|p|0.0002369598872201052
 in|l|0.00017177715161204035
 in|b|0.00015175942090706843
 in|w|7.444093605911436e-05
 in|o|0.00022457391634640383
 in|u|7.982070118607557e-05
 in|Ã|4.516500490309292e-05
 in|r|1.3887300676574275e-05
 wh|a|0.47031970764853076
